t  net  edges  BIC
0  0  429  236202.207584146
0  1  435  236242.751495795
0  2  436  236170.627729736
0  3  431  236200.105364361
0  4  438  236227.035796305
0  5  432  236226.110511958
0  6  432  236225.758197268
0  7  434  236202.026282134
0  8  436  236166.765246523
0  9  433  236133.080710773
0  10  437  236213.403612249
0  11  437  236222.069474898
0  12  433  236202.698945708
0  13  436  236228.271895136
0  14  435  236211.602242261
0  15  437  236218.633863564
0  16  438  236240.223544405
0  17  430  236197.725360589
0  18  438  236217.071214145
0  19  434  236184.29123315
0  20  432  236239.805294397
0  21  429  236228.048521949
0  22  432  236192.511354289
0  23  429  236233.307587092
0  24  433  236298.344480114
0  25  432  236192.541201258
0  26  431  236248.226858499
0  27  429  236206.329627898
0  28  438  236207.241043564
0  29  433  236228.643418716
0  30  427  236208.037879767
0  31  430  236215.287604746
0  32  435  236171.732390496
0  33  431  236174.622959103
0  34  427  236181.360310493
0  35  431  236205.949416037
0  36  430  236168.857662934
0  37  433  236237.146395943
0  38  434  236209.325262602
0  39  430  236199.051095185
0  40  434  236221.379261589
0  41  430  236218.625748822
0  42  433  236191.98612404
0  43  439  236227.64712399
0  44  429  236221.854432747
0  45  429  236154.613011781
0  46  431  236261.920473922
0  47  429  236260.827898441
0  48  434  236195.606347641
0  49  435  236204.775799992
0  50  428  236169.928653342
0  51  438  236195.984485818
0  52  432  236282.424172014
0  53  428  236184.672760894
0  54  433  236198.35355758
0  55  431  236266.036939983
0  56  434  236191.132607034
0  57  430  236219.125821142
0  58  438  236225.017743601
0  59  434  236196.427180267
0  60  435  236234.828113786
0  61  434  236213.488493919
0  62  432  236254.660756659
0  63  431  236190.476335004
0  64  434  236176.427983436
0  65  435  236153.27834719
0  66  434  236174.30100655
0  67  434  236179.88265472
0  68  431  236194.564240664
0  69  437  236227.326157531
0  70  432  236266.861058686
0  71  434  236212.05756301
0  72  436  236172.840638167
0  73  435  236229.011546545
0  74  433  236189.817612444
0  75  431  236228.845729803
0  76  433  236210.770446568
0  77  432  236188.495191167
0  78  434  236243.082108677
0  79  433  236278.592220022
0  80  434  236210.049004796
0  81  432  236216.681141519
0  82  436  236240.101137246
0  83  438  236267.014730373
0  84  435  236250.399712122
0  85  432  236227.160039763
0  86  434  236254.661946209
0  87  431  236209.561457081
0  88  433  236152.185220237
0  89  435  236262.139139102
0  90  438  236211.017278927
0  91  432  236210.205518
0  92  434  236201.45530404
0  93  435  236133.603605329
0  94  432  236195.169003431
0  95  433  236189.509602557
0  96  436  236170.817078746
0  97  431  236223.243688301
0  98  435  236211.032802029
0  99  430  236239.060535522
0  100  434  236229.170292728
0  101  434  236193.551015233
0  102  434  236177.811238144
0  103  435  236206.837396022
0  104  435  236166.708864495
0  105  432  236213.331492654
0  106  429  236194.348279971
0  107  436  236240.041764455
0  108  436  236215.267779829
0  109  435  236293.792408459
0  110  430  236204.81632282
0  111  436  236263.747913646
0  112  438  236247.633177112
0  113  436  236189.495313527
0  114  435  236161.421158944
0  115  425  236177.81687658
0  116  433  236200.429812839
0  117  432  236198.032307821
0  118  433  236216.2239339
0  119  437  236212.184182943
0  120  430  236200.058879055
0  121  430  236213.052509173
0  122  435  236205.800603329
0  123  436  236269.034175062
0  124  431  236195.835978552
0  125  435  236185.106464118
0  126  433  236213.084333399
0  127  437  236247.524587607
1  0  430  236204.730079183
1  1  434  236225.185116445
1  2  436  236173.270342361
1  3  433  236194.139876813
1  4  436  236214.989093852
1  5  436  236222.741667558
1  6  436  236211.215273392
1  7  433  236185.377698356
1  8  435  236191.170674739
1  9  432  236142.699658394
1  10  438  236198.803647348
1  11  435  236210.053039312
1  12  433  236203.664361192
1  13  432  236215.067660274
1  14  437  236223.959667171
1  15  435  236196.370291012
1  16  435  236232.505268126
1  17  432  236212.585155842
1  18  435  236218.574031131
1  19  438  236191.883646514
1  20  434  236231.801274008
1  21  426  236243.089342801
1  22  433  236212.276519506
1  23  428  236228.308190414
1  24  433  236289.751756699
1  25  430  236183.119131439
1  26  434  236256.564935091
1  27  427  236210.576756172
1  28  435  236201.023593909
1  29  436  236231.473217085
1  30  428  236207.155141876
1  31  432  236218.692888052
1  32  436  236172.742158756
1  33  433  236168.741633456
1  34  429  236219.372176945
1  35  431  236217.464956279
1  36  431  236164.89527134
1  37  431  236237.162477739
1  38  434  236192.06062051
1  39  431  236200.55430097
1  40  433  236211.469754057
1  41  427  236212.758489335
1  42  435  236203.797762768
1  43  441  236218.057515609
1  44  429  236243.396947825
1  45  432  236143.546585146
1  46  428  236245.213029437
1  47  432  236271.767036663
1  48  438  236205.129056585
1  49  432  236196.885086359
1  50  433  236182.713031075
1  51  436  236206.421059577
1  52  434  236304.264438612
1  53  428  236184.466710834
1  54  431  236198.440892084
1  55  432  236268.781915023
1  56  435  236192.092154658
1  57  432  236238.884105272
1  58  436  236234.60731977
1  59  432  236191.588635253
1  60  436  236222.099501828
1  61  435  236234.897611433
1  62  432  236256.627278071
1  63  431  236177.634688534
1  64  434  236181.271978429
1  65  433  236139.95159066
1  66  436  236178.9161415
1  67  435  236167.880910538
1  68  430  236183.863049731
1  69  436  236232.676853305
1  70  434  236270.907111566
1  71  432  236209.60919091
1  72  433  236176.508712941
1  73  433  236234.41045998
1  74  433  236203.494626763
1  75  429  236228.326221672
1  76  435  236212.711273414
1  77  433  236174.535724229
1  78  435  236246.779682908
1  79  432  236268.353956332
1  80  433  236203.585064486
1  81  433  236219.231578189
1  82  436  236247.63833427
1  83  435  236252.500116186
1  84  433  236236.747615118
1  85  433  236218.827757497
1  86  433  236236.872921312
1  87  433  236210.034026765
1  88  434  236145.050061262
1  89  432  236243.007002042
1  90  437  236205.554270759
1  91  433  236210.199808151
1  92  434  236215.029908437
1  93  434  236139.268643781
1  94  434  236206.649041423
1  95  432  236183.100360432
1  96  436  236173.954116492
1  97  429  236230.083072364
1  98  433  236207.008033879
1  99  434  236256.346637898
1  100  433  236204.092651037
1  101  434  236191.458715425
1  102  434  236181.453961097
1  103  436  236214.294346966
1  104  436  236172.384143812
1  105  432  236231.229452313
1  106  430  236202.772336621
1  107  437  236239.84254233
1  108  438  236212.665325821
1  109  435  236288.284590744
1  110  428  236192.298291548
1  111  432  236261.595449025
1  112  436  236230.684877108
1  113  436  236179.606616257
1  114  436  236157.81441765
1  115  430  236168.898831409
1  116  432  236215.62256442
1  117  431  236201.022552028
1  118  434  236223.055976187
1  119  438  236195.89064014
1  120  431  236205.488748914
1  121  433  236209.761032291
1  122  435  236215.227942781
1  123  437  236287.845039431
1  124  433  236205.060406163
1  125  435  236191.826332097
1  126  435  236196.186178244
1  127  435  236247.078206323
2  0  431  236194.345151913
2  1  432  236228.04388469
2  2  436  236193.711300437
2  3  433  236197.65449394
2  4  435  236202.435960132
2  5  433  236231.445796047
2  6  437  236232.925277463
2  7  433  236184.394897911
2  8  433  236176.036995186
2  9  431  236154.054798054
2  10  433  236188.106845736
2  11  436  236214.963803712
2  12  431  236191.390968138
2  13  433  236221.420779886
2  14  436  236206.381761607
2  15  438  236200.572753439
2  16  434  236225.748824986
2  17  433  236204.479946048
2  18  435  236212.110655109
2  19  439  236206.720735903
2  20  433  236230.707777919
2  21  429  236253.275352118
2  22  432  236202.104407708
2  23  429  236230.343868646
2  24  430  236272.762888356
2  25  431  236180.302528882
2  26  434  236230.140517357
2  27  424  236200.698447141
2  28  430  236184.525850513
2  29  436  236217.742842201
2  30  433  236221.771534571
2  31  432  236207.298611368
2  32  434  236165.754072607
2  33  433  236187.364587827
2  34  430  236216.479596822
2  35  428  236207.52608983
2  36  434  236169.815872051
2  37  431  236246.500296899
2  38  434  236190.786607669
2  39  430  236189.273467606
2  40  431  236207.80413559
2  41  428  236182.617957669
2  42  433  236214.79335752
2  43  441  236208.00747714
2  44  432  236257.308574368
2  45  431  236163.692006336
2  46  429  236249.555262368
2  47  432  236280.623947563
2  48  436  236200.107373358
2  49  431  236195.630165486
2  50  433  236169.037879708
2  51  436  236206.162861811
2  52  431  236307.910172605
2  53  429  236185.342525361
2  54  432  236183.014624443
2  55  431  236275.448805075
2  56  431  236192.124407026
2  57  432  236215.779084922
2  58  436  236240.825583244
2  59  433  236201.394878001
2  60  433  236230.034929898
2  61  434  236202.912521918
2  62  428  236253.553229442
2  63  434  236172.410149037
2  64  435  236189.331248587
2  65  430  236145.047383014
2  66  436  236193.475230209
2  67  436  236185.529917948
2  68  430  236176.831015516
2  69  437  236228.733034996
2  70  437  236285.722614515
2  71  429  236212.455057828
2  72  435  236181.553355623
2  73  431  236229.731470934
2  74  434  236194.768671702
2  75  432  236212.896350861
2  76  435  236205.410373256
2  77  435  236186.601124867
2  78  436  236258.357068098
2  79  433  236253.949078215
2  80  437  236215.104652155
2  81  431  236203.008076644
2  82  432  236243.250803583
2  83  437  236258.747511056
2  84  430  236231.957652113
2  85  434  236209.714693962
2  86  436  236241.995441032
2  87  433  236213.409883713
2  88  436  236149.281059483
2  89  429  236245.746508924
2  90  438  236208.317835165
2  91  433  236201.017647588
2  92  439  236218.028717583
2  93  436  236164.22873545
2  94  435  236202.962079896
2  95  432  236169.138760879
2  96  435  236193.17898441
2  97  430  236213.398688499
2  98  437  236226.366358706
2  99  430  236238.075232455
2  100  433  236184.138202304
2  101  434  236169.086024373
2  102  433  236188.543505366
2  103  435  236207.023909372
2  104  435  236171.531515477
